customer_id,country,acquisition_channel,device_type,signup_date
147,NL,Referral,mobile,2024-09-23
148,SE,Referral,mobile,2024-05-18
149,US,Paid Ads,mobile,2022-05-12
150,NL,Organic,desktop,2023-07-13
151,DE,Referral,mobile,2025-08-05
152,CA,Email,mobile,2023-05-11
153,UK,Referral,mobile,2022-11-25
154,AU,Paid Ads,mobile,2024-05-02
155,BR,Organic,mobile,2025-10-18
156,CA,Referral,mobile,2023-05-15
157,NL,Organic,desktop,2024-12-03
158,BR,Partnership,mobile,2025-03-10
159,UK,Referral,mobile,2023-05-08
160,AU,Organic,mobile,2025-02-02
161,FR,Paid Ads,mobile,2023-11-21
162,FR,Email,desktop,2024-10-20
163,AU,Organic,mobile,2024-10-21
164,BR,Paid Ads,mobile,2024-06-28
165,DE,Referral,desktop,2022-08-07
166,BR,Email,mobile,2025-05-25
167,SE,Organic,desktop,2023-09-15
168,BR,Paid Ads,desktop,2023-02-10
169,DE,Partnership,mobile,2022-04-17
170,CA,Partnership,desktop,2024-09-02
171,UK,Referral,mobile,2024-12-09
172,BR,Partnership,mobile,2022-02-15
173,UK,Paid Ads,mobile,2024-05-30
174,NL,Paid Ads,mobile,2023-04-19
175,FR,Paid Ads,mobile,2024-11-03
176,FR,Organic,mobile,2023-01-19
177,DE,Paid Ads,desktop,2024-12-24
178,NL,Paid Ads,mobile,2023-12-18
179,FR,Email,mobile,2025-09-02
180,DE,Email,mobile,2022-11-11
181,BR,Referral,desktop,2023-10-14
182,NL,Organic,desktop,2022-09-24
183,SE,Organic,mobile,2025-08-21
184,SE,Organic,mobile,2025-07-06
185,SE,Referral,mobile,2023-06-10
186,CA,Organic,mobile,2024-11-20
187,SE,Paid Ads,desktop,2025-05-06
188,NL,Paid Ads,mobile,2024-07-22
189,US,Email,mobile,2024-06-21
190,FR,Email,mobile,2023-05-15
191,SE,Referral,desktop,2022-08-13
192,NL,Organic,desktop,2025-07-25
193,IN,Paid Ads,desktop,2025-07-28
194,BR,Organic,mobile,2024-10-20
195,CA,Organic,mobile,2023-10-11
196,UK,Organic,mobile,2023-10-26
197,DE,Organic,mobile,2025-01-31
198,IN,Organic,mobile,2025-07-25
199,IN,Organic,desktop,2025-07-15
200,CA,Organic,mobile,2025-03-29
201,DE,Referral,desktop,2024-10-31
202,CA,Partnership,desktop,2022-07-25
203,SE,Email,desktop,2022-12-27
204,UK,Organic,desktop,2025-07-27
205,DE,Paid Ads,mobile,2024-09-20
206,NL,Email,desktop,2022-01-26
207,FR,Organic,desktop,2022-08-31
208,CA,Email,mobile,2024-11-24
209,UK,Paid Ads,mobile,2022-01-15
210,BR,Partnership,mobile,2022-12-25
211,US,Email,desktop,2024-07-14
212,BR,Referral,desktop,2024-12-25
213,US,Referral,mobile,2024-11-11
214,AU,Organic,mobile,2023-04-16
215,NL,Organic,desktop,2025-01-16
216,AU,Paid Ads,mobile,2023-05-07
217,CA,Organic,desktop,2023-09-21
218,CA,Organic,desktop,2025-02-22
219,US,Organic,mobile,2024-11-08
220,DE,Email,desktop,2025-06-08
221,UK,Organic,mobile,2024-11-17
222,SE,Organic,desktop,2024-08-06
223,IN,Paid Ads,desktop,2022-08-14
224,CA,Paid Ads,desktop,2023-11-21
225,AU,Organic,mobile,2023-06-21
226,AU,Partnership,desktop,2023-05-18
227,BR,Paid Ads,desktop,2025-10-06
228,NL,Paid Ads,desktop,2023-12-27
229,US,Organic,mobile,2025-07-20
230,IN,Paid Ads,mobile,2024-10-18
231,US,Email,mobile,2025-04-13
232,CA,Organic,mobile,2024-05-18
233,FR,Paid Ads,desktop,2024-08-16
234,IN,Organic,mobile,2024-05-05
235,BR,Partnership,mobile,2023-02-25
236,AU,Organic,desktop,2025-01-27
237,BR,Email,mobile,2023-07-16
238,CA,Organic,mobile,2022-03-07
239,FR,Paid Ads,desktop,2024-11-03
240,SE,Referral,desktop,2023-01-24
241,IN,Organic,desktop,2025-09-05
242,US,Paid Ads,mobile,2025-09-18
243,IN,Organic,desktop,2025-08-11
244,AU,Organic,mobile,2023-11-25
245,US,Email,desktop,2022-02-12
246,SE,Organic,desktop,2025-08-25
247,SE,Referral,desktop,2024-02-12
248,NL,Organic,desktop,2025-09-30
249,US,Organic,desktop,2025-09-27
250,UK,Referral,mobile,2025-06-12
251,FR,Paid Ads,mobile,2023-08-06
252,UK,Organic,mobile,2023-12-16
253,SE,Paid Ads,desktop,2025-06-10
254,US,Organic,mobile,2023-09-09
255,NL,Email,mobile,2023-01-10
256,IN,Organic,desktop,2024-07-23
257,IN,Organic,mobile,2025-09-01
258,IN,Email,desktop,2024-12-30
259,NL,Organic,mobile,2024-08-08
260,CA,Organic,desktop,2022-08-22
261,US,Paid Ads,mobile,2024-09-30
262,UK,Email,mobile,2025-10-22
263,FR,Partnership,desktop,2022-11-16
264,SE,Referral,mobile,2024-06-07
265,FR,Paid Ads,mobile,2025-07-06
266,SE,Referral,mobile,2025-02-16
267,US,Paid Ads,mobile,2024-12-31
268,US,Organic,mobile,2025-01-06
269,BR,Partnership,mobile,2023-11-10
270,UK,Organic,mobile,2023-08-05
271,AU,Organic,desktop,2025-04-28
272,SE,Email,desktop,2025-04-29
273,DE,Referral,desktop,2025-06-26
274,AU,Organic,mobile,2025-08-10
275,IN,Organic,desktop,2024-05-29
276,FR,Paid Ads,desktop,2024-05-17
277,US,Paid Ads,desktop,2025-04-17
278,DE,Paid Ads,desktop,2024-11-09
279,SE,Organic,desktop,2025-01-05
280,CA,Partnership,mobile,2025-04-14
281,SE,Organic,desktop,2025-07-18
282,FR,Paid Ads,mobile,2023-10-10
283,SE,Paid Ads,mobile,2023-12-02
284,SE,Organic,mobile,2022-08-15
285,NL,Organic,desktop,2024-08-18
286,UK,Partnership,mobile,2022-04-05
287,AU,Email,mobile,2024-04-01
288,CA,Organic,desktop,2024-07-06
289,US,Email,mobile,2023-07-25
290,SE,Organic,mobile,2024-09-02
291,CA,Referral,mobile,2022-03-22
292,BR,Organic,desktop,2022-04-08
293,SE,Email,mobile,2025-05-12
294,NL,Organic,mobile,2023-11-11
295,NL,Paid Ads,desktop,2022-10-22
296,DE,Email,mobile,2024-06-11
297,IN,Organic,desktop,2025-03-19
298,FR,Paid Ads,mobile,2023-04-01
299,AU,Organic,desktop,2024-10-09
300,BR,Referral,desktop,2022-07-28
301,FR,Organic,mobile,2022-05-13
302,FR,Paid Ads,mobile,2024-06-23
303,DE,Partnership,desktop,2024-07-04
304,NL,Organic,desktop,2024-10-25
305,UK,Organic,mobile,2025-01-31
306,CA,Referral,mobile,2025-10-09
307,US,Email,mobile,2024-06-04
308,UK,Partnership,mobile,2023-09-18
309,UK,Organic,mobile,2025-04-14
310,IN,Paid Ads,mobile,2023-06-30
311,IN,Email,desktop,2024-02-26
312,UK,Email,mobile,2022-07-13
313,NL,Referral,desktop,2022-03-09
314,FR,Organic,mobile,2025-09-26
315,CA,Organic,desktop,2025-05-25
316,FR,Organic,desktop,2024-12-30
317,FR,Partnership,desktop,2024-01-17
318,FR,Organic,desktop,2023-01-17
319,CA,Paid Ads,desktop,2022-12-17
320,CA,Paid Ads,mobile,2023-05-28
321,DE,Paid Ads,desktop,2024-07-14
322,AU,Paid Ads,mobile,2025-01-19
323,UK,Referral,mobile,2024-11-20
324,SE,Paid Ads,mobile,2023-07-15
325,DE,Organic,mobile,2025-09-19
326,DE,Paid Ads,desktop,2025-02-13
327,US,Email,desktop,2024-07-20
328,SE,Partnership,mobile,2024-09-26
329,IN,Referral,mobile,2024-02-01
330,US,Email,mobile,2023-05-24
331,IN,Paid Ads,mobile,2023-11-05
332,AU,Referral,desktop,2025-03-06
333,BR,Partnership,mobile,2022-02-09
334,IN,Paid Ads,desktop,2022-09-30
335,FR,Organic,mobile,2022-04-29
336,IN,Partnership,desktop,2022-04-17
337,SE,Email,mobile,2025-06-14
338,CA,Paid Ads,desktop,2025-01-07
339,SE,Partnership,mobile,2024-04-12
340,AU,Organic,mobile,2022-08-23
341,DE,Paid Ads,desktop,2024-05-04
342,FR,Referral,desktop,2024-04-11
343,BR,Organic,desktop,2023-01-17
344,AU,Referral,mobile,2024-02-20
345,DE,Organic,desktop,2024-01-03
346,NL,Organic,mobile,2024-10-01
347,SE,Paid Ads,desktop,2024-10-23
348,AU,Paid Ads,mobile,2022-04-28
349,SE,Organic,mobile,2023-12-01
350,BR,Partnership,mobile,2024-10-12
351,DE,Paid Ads,mobile,2024-05-19
352,SE,Organic,desktop,2025-06-15
353,CA,Organic,mobile,2024-11-18
354,IN,Email,mobile,2022-12-29
355,US,Paid Ads,mobile,2022-06-25
356,BR,Organic,desktop,2024-10-31
357,US,Organic,mobile,2022-03-12
358,UK,Paid Ads,mobile,2024-08-27
359,IN,Organic,mobile,2025-09-05
360,BR,Referral,mobile,2024-08-15
361,AU,Partnership,desktop,2023-12-20
362,CA,Organic,desktop,2024-11-01
363,AU,Email,desktop,2024-03-23
364,NL,Partnership,desktop,2024-07-10
365,UK,Partnership,desktop,2025-09-06
366,CA,Partnership,desktop,2023-12-17
367,SE,Email,mobile,2025-09-25
368,SE,Paid Ads,mobile,2025-08-02
369,FR,Paid Ads,mobile,2023-02-26
370,SE,Paid Ads,desktop,2022-06-22
371,DE,Email,mobile,2022-08-29
372,UK,Organic,desktop,2022-02-19
373,DE,Organic,mobile,2022-08-16
374,IN,Organic,mobile,2024-12-15
375,FR,Email,mobile,2022-06-27
376,FR,Email,mobile,2023-09-12
377,SE,Paid Ads,desktop,2025-06-03
378,CA,Organic,mobile,2022-03-04
379,IN,Referral,desktop,2025-05-04
380,NL,Organic,mobile,2023-07-18
381,UK,Paid Ads,desktop,2022-10-04
382,UK,Paid Ads,mobile,2024-12-30
383,BR,Partnership,mobile,2024-10-16
384,AU,Paid Ads,mobile,2025-07-06
385,SE,Paid Ads,mobile,2025-02-10
386,BR,Referral,desktop,2025-04-22
387,NL,Paid Ads,mobile,2023-07-18
388,FR,Organic,mobile,2023-01-24
389,US,Paid Ads,mobile,2025-02-26
390,NL,Partnership,desktop,2025-04-26
391,NL,Paid Ads,desktop,2025-10-23
392,CA,Referral,mobile,2024-01-22
393,CA,Partnership,mobile,2023-11-27
394,CA,Email,desktop,2025-03-25
395,CA,Referral,mobile,2023-10-14
396,AU,Referral,mobile,2025-08-27
397,SE,Partnership,mobile,2025-06-17
398,UK,Partnership,desktop,2024-02-13
399,SE,Partnership,mobile,2025-02-27
400,SE,Referral,mobile,2025-03-02
401,UK,Paid Ads,desktop,2022-09-03
402,CA,Organic,desktop,2025-07-31
403,SE,Paid Ads,desktop,2024-05-21
404,AU,Partnership,mobile,2025-05-16
405,CA,Email,desktop,2023-09-13
406,AU,Paid Ads,desktop,2025-07-24
407,BR,Paid Ads,mobile,2023-12-21
408,SE,Organic,desktop,2022-01-30
409,DE,Paid Ads,desktop,2025-08-02
410,AU,Referral,mobile,2022-08-09
411,BR,Paid Ads,mobile,2023-09-12
412,IN,Organic,desktop,2025-09-14
413,IN,Paid Ads,desktop,2025-09-15
414,BR,Organic,mobile,2024-08-12
415,FR,Partnership,mobile,2024-10-19
416,FR,Paid Ads,desktop,2024-03-10
417,CA,Partnership,desktop,2023-08-04
418,FR,Organic,desktop,2023-09-26
419,IN,Organic,mobile,2024-12-04
420,FR,Referral,mobile,2025-02-28
421,DE,Email,mobile,2025-04-10
422,IN,Paid Ads,mobile,2025-04-08
423,AU,Organic,mobile,2022-08-09
424,NL,Organic,mobile,2024-05-08
425,FR,Referral,desktop,2022-05-27
426,FR,Organic,mobile,2024-07-15
427,SE,Organic,desktop,2024-03-01
428,UK,Referral,desktop,2025-07-16
429,DE,Organic,desktop,2023-10-28
430,IN,Organic,desktop,2022-10-02
431,IN,Organic,mobile,2022-11-22
432,US,Partnership,mobile,2025-03-10
433,UK,Paid Ads,mobile,2024-10-03
434,FR,Partnership,desktop,2022-08-30
435,BR,Organic,mobile,2022-07-25
436,SE,Email,desktop,2025-01-04
437,AU,Organic,mobile,2022-06-30
438,SE,Paid Ads,mobile,2025-05-11
439,FR,Email,desktop,2025-01-10
440,US,Email,mobile,2022-07-19
441,NL,Email,desktop,2022-07-27
442,IN,Email,mobile,2025-10-19
443,AU,Organic,mobile,2023-12-01
444,UK,Paid Ads,mobile,2023-11-26
445,FR,Paid Ads,desktop,2025-05-02
446,DE,Email,mobile,2025-09-12
447,BR,Organic,mobile,2025-10-18
448,SE,Partnership,desktop,2025-03-01
449,US,Paid Ads,mobile,2023-12-03
450,NL,Referral,desktop,2022-07-24
451,CA,Organic,desktop,2025-03-26
452,BR,Paid Ads,desktop,2024-07-25
453,FR,Referral,mobile,2024-02-07
454,NL,Paid Ads,desktop,2025-08-03
455,BR,Partnership,mobile,2022-09-20
456,BR,Referral,desktop,2024-05-06
457,IN,Paid Ads,desktop,2022-02-01
458,BR,Email,desktop,2024-04-05
459,DE,Referral,mobile,2022-05-24
460,NL,Referral,desktop,2022-10-05
461,FR,Organic,desktop,2022-10-03
462,FR,Paid Ads,mobile,2024-11-08
463,DE,Referral,mobile,2025-02-21
464,UK,Email,desktop,2024-08-24
465,NL,Organic,mobile,2025-09-26
466,BR,Organic,desktop,2023-12-01
467,US,Paid Ads,mobile,2023-07-23
468,AU,Organic,desktop,2025-06-27
469,NL,Referral,desktop,2023-04-15
470,CA,Referral,desktop,2025-09-27
471,US,Paid Ads,desktop,2022-02-03
472,DE,Email,mobile,2025-10-03
473,BR,Paid Ads,desktop,2022-04-22
474,UK,Referral,desktop,2025-07-19
475,CA,Organic,mobile,2024-06-18
476,UK,Paid Ads,mobile,2025-10-25
477,UK,Email,desktop,2022-07-02
478,SE,Organic,desktop,2024-07-20
479,IN,Paid Ads,desktop,2025-10-03
480,CA,Organic,desktop,2024-06-13
481,AU,Organic,desktop,2024-10-16
482,IN,Organic,desktop,2024-12-29
483,CA,Organic,mobile,2024-03-18
484,UK,Partnership,mobile,2024-10-14
485,IN,Referral,mobile,2024-08-25
486,CA,Organic,desktop,2025-07-29
487,AU,Email,mobile,2022-04-28
488,US,Organic,mobile,2023-07-16
489,NL,Paid Ads,mobile,2025-09-15
490,BR,Organic,mobile,2025-07-18
491,CA,Organic,mobile,2024-03-19
492,AU,Email,desktop,2024-10-06
493,NL,Organic,desktop,2023-07-11
494,IN,Email,desktop,2023-02-13
495,CA,Paid Ads,desktop,2024-03-30
496,CA,Organic,desktop,2023-11-01
497,DE,Referral,mobile,2024-08-24
498,CA,Paid Ads,mobile,2022-07-11
499,BR,Organic,mobile,2025-10-07
500,DE,Organic,desktop,2025-10-19
501,NL,Organic,desktop,2025-01-01
502,IN,Partnership,mobile,2024-06-28
503,IN,Paid Ads,mobile,2023-08-29
504,FR,Organic,mobile,2025-05-03
505,FR,Email,desktop,2024-12-17
506,NL,Organic,mobile,2022-12-28
507,SE,Organic,desktop,2025-08-08
508,AU,Organic,mobile,2025-05-12
509,SE,Paid Ads,mobile,2025-09-14
510,AU,Organic,desktop,2025-01-31
511,DE,Paid Ads,mobile,2024-09-28
512,NL,Email,mobile,2024-01-30
513,AU,Organic,mobile,2025-08-29
514,FR,Organic,mobile,2025-06-25
515,FR,Paid Ads,desktop,2022-04-27
516,UK,Paid Ads,desktop,2022-03-12
517,AU,Partnership,mobile,2023-12-04
518,NL,Paid Ads,mobile,2025-04-30
519,US,Organic,mobile,2025-10-20
520,DE,Organic,mobile,2022-12-06
521,CA,Organic,desktop,2024-09-06
522,CA,Referral,desktop,2023-12-10
523,AU,Organic,mobile,2025-10-03
524,SE,Organic,mobile,2025-06-01
525,DE,Paid Ads,mobile,2025-05-28
526,IN,Organic,mobile,2024-04-05
527,BR,Paid Ads,mobile,2024-01-25
528,CA,Organic,mobile,2023-07-04
529,FR,Partnership,desktop,2022-05-24
530,DE,Organic,desktop,2025-06-23
531,SE,Partnership,mobile,2025-05-02
532,NL,Organic,mobile,2025-10-31
533,SE,Email,desktop,2025-10-28
534,DE,Organic,desktop,2024-07-22
535,IN,Referral,desktop,2025-03-18
536,CA,Organic,desktop,2025-09-09
537,FR,Paid Ads,desktop,2025-06-08
538,US,Referral,mobile,2023-05-24
539,NL,Paid Ads,desktop,2024-03-13
540,FR,Paid Ads,mobile,2022-10-26
541,IN,Organic,desktop,2025-09-18
542,BR,Organic,desktop,2024-09-20
543,IN,Paid Ads,mobile,2023-04-23
544,IN,Organic,mobile,2024-12-03
545,CA,Organic,desktop,2024-10-03
546,DE,Organic,mobile,2023-11-08
547,DE,Organic,desktop,2022-09-25
548,FR,Paid Ads,desktop,2024-12-03
549,BR,Paid Ads,mobile,2024-06-09
550,BR,Partnership,mobile,2025-03-21
551,SE,Paid Ads,desktop,2024-06-09
552,US,Partnership,desktop,2025-06-11
553,IN,Referral,mobile,2024-07-18
554,US,Partnership,desktop,2024-07-28
555,UK,Email,mobile,2025-07-05
556,AU,Referral,desktop,2024-01-10
557,IN,Paid Ads,mobile,2022-11-04
558,US,Organic,desktop,2022-03-18
559,CA,Organic,mobile,2025-03-03
560,AU,Partnership,desktop,2024-10-06
561,BR,Partnership,mobile,2025-01-07
562,IN,Referral,desktop,2023-03-28
563,IN,Email,desktop,2022-11-09
564,BR,Partnership,desktop,2022-02-09
565,SE,Paid Ads,mobile,2023-10-28
566,CA,Referral,desktop,2024-09-01
567,IN,Paid Ads,desktop,2023-12-26
568,US,Paid Ads,desktop,2024-02-25
569,IN,Organic,mobile,2025-08-01
570,AU,Paid Ads,desktop,2023-10-25
571,IN,Referral,desktop,2024-06-01
572,US,Paid Ads,mobile,2025-04-02
573,NL,Email,mobile,2023-12-31
574,AU,Organic,desktop,2024-10-08
575,FR,Organic,mobile,2025-06-21
576,FR,Email,desktop,2025-09-14
577,AU,Referral,desktop,2022-11-29
578,CA,Organic,mobile,2025-08-23
579,NL,Paid Ads,mobile,2024-05-05
580,AU,Paid Ads,desktop,2023-06-10
581,US,Partnership,desktop,2024-03-24
582,UK,Referral,desktop,2025-10-13
583,DE,Organic,mobile,2024-05-06
584,IN,Paid Ads,mobile,2023-09-26
585,SE,Email,desktop,2024-10-21
586,NL,Referral,mobile,2023-05-12
587,US,Email,desktop,2022-07-07
588,SE,Organic,mobile,2022-10-25
589,FR,Email,desktop,2022-10-24
590,AU,Email,mobile,2022-12-08
591,NL,Referral,desktop,2022-11-14
592,BR,Organic,mobile,2024-10-29
593,IN,Email,desktop,2023-02-01
594,DE,Referral,desktop,2023-10-21
595,FR,Email,mobile,2025-07-25
596,AU,Paid Ads,desktop,2024-04-12
597,IN,Organic,desktop,2024-11-28
598,FR,Organic,mobile,2023-01-15
599,BR,Paid Ads,mobile,2023-02-20
600,SE,Paid Ads,desktop,2022-04-17
601,DE,Paid Ads,desktop,2023-01-09
602,DE,Paid Ads,desktop,2023-07-12
603,IN,Email,mobile,2023-01-24
604,US,Organic,desktop,2022-08-04
605,IN,Organic,desktop,2022-10-09
606,FR,Email,mobile,2024-03-26
607,US,Paid Ads,desktop,2023-03-16
608,DE,Paid Ads,desktop,2023-11-17
609,UK,Paid Ads,mobile,2024-05-19
610,DE,Paid Ads,desktop,2024-12-23
611,IN,Organic,mobile,2022-04-13
612,FR,Paid Ads,mobile,2025-04-18
613,US,Partnership,desktop,2024-10-15
614,AU,Paid Ads,desktop,2022-07-20
615,US,Organic,mobile,2025-07-02
616,BR,Email,mobile,2025-08-17
617,CA,Paid Ads,desktop,2022-06-04
618,CA,Organic,desktop,2023-07-10
619,NL,Email,mobile,2025-04-25
620,SE,Organic,desktop,2025-02-24
621,NL,Partnership,mobile,2023-02-06
622,NL,Paid Ads,mobile,2023-03-21
623,US,Referral,desktop,2023-11-25
624,FR,Paid Ads,mobile,2024-04-25
625,NL,Organic,mobile,2024-10-03
626,IN,Referral,desktop,2023-11-23
627,US,Partnership,mobile,2024-03-28
628,FR,Email,mobile,2025-02-23
629,CA,Referral,desktop,2022-04-07
630,UK,Partnership,desktop,2023-06-01
631,IN,Organic,mobile,2025-01-17
632,AU,Organic,mobile,2025-07-23
633,SE,Organic,mobile,2024-05-29
634,AU,Referral,mobile,2024-06-24
635,FR,Email,desktop,2022-09-12
636,BR,Referral,mobile,2024-03-09
637,FR,Partnership,desktop,2024-06-24
638,UK,Referral,desktop,2023-05-16
639,CA,Paid Ads,desktop,2023-06-28
640,DE,Organic,mobile,2023-12-05
641,FR,Partnership,desktop,2022-02-24
642,CA,Organic,desktop,2023-09-16
643,AU,Paid Ads,desktop,2023-03-25
644,FR,Organic,desktop,2023-09-24
645,FR,Organic,mobile,2022-10-07
646,NL,Referral,mobile,2025-07-19
647,AU,Organic,mobile,2024-09-05
648,SE,Partnership,mobile,2024-12-11
649,SE,Paid Ads,mobile,2025-04-08
650,IN,Referral,mobile,2024-05-13
651,BR,Referral,mobile,2022-07-31
652,DE,Referral,desktop,2024-06-30
653,FR,Partnership,desktop,2024-08-28
654,FR,Organic,desktop,2025-02-21
655,IN,Organic,desktop,2024-02-17
656,BR,Organic,desktop,2022-10-23
657,AU,Email,mobile,2023-07-20
658,FR,Partnership,mobile,2023-11-15
659,CA,Organic,desktop,2024-11-04
660,US,Referral,desktop,2024-08-09
661,BR,Organic,mobile,2023-11-05
662,FR,Organic,desktop,2025-10-19
663,BR,Referral,desktop,2024-09-19
664,SE,Organic,mobile,2023-05-07
665,DE,Paid Ads,mobile,2022-08-31
666,FR,Referral,mobile,2022-12-10
667,DE,Email,mobile,2023-05-22
668,UK,Paid Ads,mobile,2022-12-25
669,US,Referral,desktop,2023-02-10
670,IN,Paid Ads,desktop,2023-07-23
671,DE,Organic,desktop,2023-01-17
672,FR,Referral,desktop,2025-07-25
673,NL,Organic,mobile,2022-07-17
674,IN,Organic,mobile,2024-06-14
675,IN,Paid Ads,mobile,2024-01-19
676,AU,Email,mobile,2025-10-15
