subscription_id,customer_id,plan_id,start_date,cancel_date,status,mrr_usd
87,121,2,2025-05-24,,active,59.0
88,122,4,2025-09-13,2025-09-13,cancelled,24.92
89,123,6,2023-11-07,2023-11-07,cancelled,99.92
90,123,1,2023-11-01,2024-08-01,cancelled,29.0
91,125,2,2023-06-18,2025-09-18,cancelled,59.0
92,126,3,2024-02-14,,active,119.0
93,128,5,2025-08-16,,active,49.92
94,129,6,2022-01-20,2025-03-20,cancelled,99.92
95,132,3,2023-06-09,2024-06-09,cancelled,119.0
96,136,1,2023-10-24,,active,29.0
97,139,4,2023-12-28,2024-11-28,cancelled,24.92
98,142,2,2023-06-11,,active,59.0
99,143,3,2024-07-04,,active,119.0
100,144,4,2023-08-23,2023-12-23,cancelled,24.92
101,145,4,2023-09-09,2024-02-09,cancelled,24.92
102,145,2,2023-08-26,2024-02-26,cancelled,59.0
103,147,5,2024-10-10,,active,49.92
104,148,2,2024-05-19,2024-07-19,cancelled,59.0
105,153,3,2022-12-14,2023-07-14,cancelled,119.0
106,157,2,2024-12-07,,active,59.0
107,157,3,2025-01-05,2025-02-05,cancelled,119.0
108,159,4,2023-05-24,2024-07-24,cancelled,24.92
109,161,2,2023-12-09,2025-04-09,cancelled,59.0
110,162,2,2024-10-20,,active,59.0
111,162,6,2024-11-18,2024-12-18,cancelled,99.92
112,163,3,2024-12-11,2025-09-11,cancelled,119.0
113,164,6,2024-07-13,2025-06-13,cancelled,99.92
114,164,1,2024-07-08,,active,29.0
115,165,6,2022-09-20,2022-09-20,cancelled,99.92
116,165,4,2022-08-19,,active,24.92
117,167,3,2023-10-13,2024-10-13,cancelled,119.0
118,169,5,2022-05-01,,active,49.92
119,173,1,2024-06-22,2024-09-22,cancelled,29.0
120,175,4,2024-12-28,,active,24.92
121,175,1,2024-12-14,2025-05-14,cancelled,29.0
122,176,3,2023-02-11,2025-08-11,cancelled,119.0
123,176,6,2023-02-10,2024-01-10,cancelled,99.92
124,178,2,2024-01-13,2025-02-13,cancelled,59.0
125,179,3,2025-09-30,2025-10-30,cancelled,119.0
126,180,5,2023-01-06,2024-04-06,cancelled,49.92
127,180,1,2022-12-11,2023-12-11,cancelled,29.0
128,181,1,2023-12-05,,active,29.0
129,184,5,2025-07-18,2025-07-18,cancelled,49.92
130,186,2,2024-11-25,2025-05-25,cancelled,59.0
131,187,3,2025-05-22,,active,119.0
132,188,2,2024-08-08,2024-12-08,cancelled,59.0
133,189,4,2024-07-20,2024-07-20,cancelled,24.92
134,189,6,2024-07-29,2024-07-29,cancelled,99.92
135,190,2,2023-05-27,,active,59.0
136,192,3,2025-09-11,,active,119.0
137,193,5,2025-08-25,,active,49.92
138,196,1,2023-11-26,2023-11-26,cancelled,29.0
139,197,5,2025-03-14,,active,49.92
140,198,3,2025-08-15,,active,119.0
141,201,1,2024-11-02,,active,29.0
142,203,2,2023-01-02,2025-03-02,cancelled,59.0
143,206,3,2022-02-05,2023-09-05,cancelled,119.0
144,206,5,2022-02-27,2023-10-27,cancelled,49.92
145,207,1,2022-09-05,,active,29.0
146,209,6,2022-03-01,,active,99.92
147,210,3,2023-01-10,,active,119.0
148,211,5,2024-07-16,2024-07-16,cancelled,49.92
149,212,5,2025-02-16,,active,49.92
150,213,5,2024-12-30,,active,49.92
151,215,1,2025-01-24,,active,29.0
152,216,3,2023-05-26,2025-04-26,cancelled,119.0
153,219,1,2024-11-25,,active,29.0
154,222,5,2024-08-13,,active,49.92
155,224,1,2023-12-31,,active,29.0
156,224,6,2023-12-03,2024-10-03,cancelled,99.92
157,228,5,2024-02-01,2024-03-01,cancelled,49.92
158,230,3,2024-12-10,,active,119.0
159,230,4,2024-11-29,2025-05-28,cancelled,24.92
160,231,3,2025-04-20,2025-06-20,cancelled,119.0
161,232,4,2024-07-07,,active,24.92
162,233,6,2024-08-31,,active,99.92
163,235,4,2023-02-27,,active,24.92
164,236,2,2025-02-23,,active,59.0
165,238,4,2022-04-02,2022-08-02,cancelled,24.92
166,239,1,2024-11-30,,active,29.0
167,240,1,2023-02-19,,active,29.0
168,242,6,2025-10-10,,active,99.92
169,244,4,2024-01-12,2025-01-12,cancelled,24.92
170,246,6,2025-08-26,,active,99.92
171,246,3,2025-08-28,,active,119.0
172,247,4,2024-03-08,2025-09-08,cancelled,24.92
173,251,3,2023-09-22,,active,119.0
174,251,5,2023-09-16,2024-02-16,cancelled,49.92
175,253,3,2025-08-04,,active,119.0
176,254,1,2023-09-23,2025-02-23,cancelled,29.0
177,255,1,2023-01-15,2023-03-15,cancelled,29.0
178,258,3,2025-01-29,,active,119.0
179,259,5,2024-08-09,,active,49.92
180,259,6,2024-08-25,2025-02-25,cancelled,99.92
181,260,6,2022-09-20,2023-02-20,cancelled,99.92
182,264,5,2024-08-04,,active,49.92
183,265,4,2025-08-25,,active,24.92
184,267,4,2025-01-23,,active,24.92
185,269,6,2023-12-10,,active,99.92
186,269,3,2023-11-14,,active,119.0
187,271,1,2025-06-08,,active,29.0
188,272,4,2025-04-30,,active,24.92
189,273,1,2025-08-23,,active,29.0
190,274,1,2025-08-26,,active,29.0
191,277,6,2025-05-06,,active,99.92
192,278,5,2024-11-23,,active,49.92
193,280,2,2025-05-29,,active,59.0
194,282,4,2023-12-07,2023-12-07,cancelled,24.92
195,283,6,2023-12-10,,active,99.92
196,283,1,2023-12-24,,active,29.0
197,284,2,2022-08-25,2023-10-25,cancelled,59.0
198,285,1,2024-09-15,2024-09-15,cancelled,29.0
199,286,6,2022-05-04,,active,99.92
200,287,2,2024-05-26,2025-07-26,cancelled,59.0
201,288,1,2024-08-17,,active,29.0
202,290,2,2024-10-05,,active,59.0
203,291,6,2022-05-08,,active,99.92
204,294,2,2023-12-05,2024-06-05,cancelled,59.0
205,294,5,2023-12-12,,active,49.92
206,295,4,2022-12-12,,active,24.92
207,295,3,2022-11-26,2024-08-26,cancelled,119.0
208,296,4,2024-07-08,2025-09-08,cancelled,24.92
209,297,6,2025-04-01,,active,99.92
210,298,5,2023-04-16,2024-06-16,cancelled,49.92
211,299,5,2024-10-16,2025-02-16,cancelled,49.92
212,300,3,2022-09-17,2024-06-17,cancelled,119.0
213,302,4,2024-06-23,,active,24.92
214,304,5,2024-11-12,,active,49.92
215,305,5,2025-02-07,2025-02-07,cancelled,49.92
216,307,6,2024-07-04,,active,99.92
217,309,3,2025-05-28,,active,119.0
218,310,2,2023-07-28,,active,59.0
219,311,2,2024-04-06,,active,59.0
220,312,3,2022-08-20,2024-07-20,cancelled,119.0
221,315,6,2025-07-18,,active,99.92
222,319,5,2022-12-23,,active,49.92
223,320,5,2023-06-03,2023-06-03,cancelled,49.92
224,321,2,2024-08-04,2025-08-04,cancelled,59.0
225,321,4,2024-07-31,,active,24.92
226,322,1,2025-03-04,,active,29.0
227,323,6,2024-12-12,,active,99.92
228,323,1,2024-11-23,2025-01-23,cancelled,29.0
229,325,1,2025-10-07,,active,29.0
230,326,5,2025-03-14,,active,49.92
231,327,3,2024-08-29,2024-08-29,cancelled,119.0
232,328,6,2024-10-31,2024-10-31,cancelled,99.92
233,330,1,2023-07-18,,active,29.0
234,332,6,2025-04-28,,active,99.92
235,334,5,2022-10-03,2025-05-03,cancelled,49.92
236,335,2,2022-06-03,2023-01-03,cancelled,59.0
237,339,6,2024-06-02,,active,99.92
238,340,1,2022-10-18,,active,29.0
239,341,4,2024-06-25,,active,24.92
240,342,2,2024-06-03,,active,59.0
241,345,6,2024-02-28,2024-05-28,cancelled,99.92
242,346,2,2024-10-27,,active,59.0
243,347,3,2024-12-17,2025-03-17,cancelled,119.0
244,348,5,2022-05-08,2023-02-08,cancelled,49.92
245,350,3,2024-12-08,,active,119.0
246,352,2,2025-07-19,,active,59.0
247,353,3,2024-11-29,,active,119.0
248,353,4,2024-12-03,,active,24.92
249,354,1,2022-12-31,2023-07-28,cancelled,29.0
250,355,6,2022-07-07,2023-05-07,cancelled,99.92
251,357,5,2022-04-20,,active,49.92
252,358,1,2024-09-15,,active,29.0
253,359,2,2025-10-09,,active,59.0
254,359,1,2025-10-24,,active,29.0
255,361,3,2024-01-13,,active,119.0
256,363,6,2024-05-12,,active,99.92
257,365,5,2025-10-14,,active,49.92
258,366,1,2024-01-01,,active,29.0
259,367,3,2025-10-22,,active,119.0
260,370,1,2022-07-25,,active,29.0
261,370,4,2022-07-08,2023-07-08,cancelled,24.92
262,371,6,2022-09-09,2025-06-09,cancelled,99.92
263,375,5,2022-07-10,2023-01-10,cancelled,49.92
264,376,6,2023-10-07,,active,99.92
265,378,3,2022-04-20,2022-04-20,cancelled,119.0
266,381,6,2022-11-05,2024-09-05,cancelled,99.92
267,382,3,2025-01-27,,active,119.0
268,383,3,2024-11-05,,active,119.0
269,389,3,2025-04-15,,active,119.0
270,390,6,2025-05-12,,active,99.92
271,392,3,2024-02-02,,active,119.0
272,393,6,2024-01-07,2025-10-07,cancelled,99.92
273,396,2,2025-08-28,,active,59.0
274,399,4,2025-04-06,,active,24.92
275,401,3,2022-10-16,2023-09-16,cancelled,119.0
276,402,6,2025-08-29,,active,99.92
277,402,2,2025-08-21,,active,59.0
278,403,5,2024-07-08,2025-02-08,cancelled,49.92
279,403,6,2024-05-28,2024-12-28,cancelled,99.92
280,404,3,2025-06-20,2025-08-20,cancelled,119.0
281,405,6,2023-09-22,2023-09-22,cancelled,99.92
282,405,4,2023-09-16,,active,24.92
283,407,6,2023-12-28,2024-07-28,cancelled,99.92
284,410,1,2022-09-15,,active,29.0
285,413,6,2025-09-18,,active,99.92
286,413,3,2025-09-18,,active,119.0
287,414,6,2024-10-04,,active,99.92
288,415,1,2024-11-12,2024-11-12,cancelled,29.0
289,416,5,2024-04-30,2025-06-28,cancelled,49.92
290,417,5,2023-09-28,2024-09-28,cancelled,49.92
291,419,3,2025-01-08,2025-07-08,cancelled,119.0
292,419,1,2025-01-10,,active,29.0
293,420,4,2025-03-14,2025-03-14,cancelled,24.92
294,426,3,2024-08-31,,active,119.0
295,427,1,2024-04-27,,active,29.0
296,427,3,2024-03-03,,active,119.0
297,428,4,2025-08-29,,active,24.92
298,433,1,2024-10-19,2025-05-19,cancelled,29.0
299,434,1,2022-09-27,2022-10-27,cancelled,29.0
300,436,6,2025-01-05,,active,99.92
301,438,6,2025-05-20,,active,99.92
302,440,2,2022-09-11,2024-04-11,cancelled,59.0
303,443,4,2023-12-08,2024-05-08,cancelled,24.92
304,444,6,2024-01-08,,active,99.92
305,445,2,2025-06-12,,active,59.0
306,445,4,2025-05-05,,active,24.92
307,450,3,2022-08-01,2023-06-01,cancelled,119.0
308,452,2,2024-08-31,2025-07-28,cancelled,59.0
309,455,1,2022-11-03,,active,29.0
310,455,6,2022-11-07,2025-02-07,cancelled,99.92
311,456,3,2024-06-07,,active,119.0
312,457,2,2022-03-06,2022-08-06,cancelled,59.0
313,458,6,2024-04-08,2025-01-08,cancelled,99.92
314,459,2,2022-06-06,2023-10-06,cancelled,59.0
315,460,3,2022-10-22,2024-09-22,cancelled,119.0
316,462,4,2025-01-04,2025-10-04,cancelled,24.92
317,463,5,2025-03-08,,active,49.92
318,463,4,2025-03-28,,active,24.92
319,466,1,2024-01-07,,active,29.0
320,467,1,2023-08-05,,active,29.0
321,468,1,2025-07-26,2025-07-26,cancelled,29.0
322,469,1,2023-04-20,2025-01-20,cancelled,29.0
323,470,5,2025-10-20,,active,49.92
324,471,6,2022-02-18,2025-09-18,cancelled,99.92
325,474,5,2025-09-10,,active,49.92
326,475,1,2024-06-25,,active,29.0
327,477,1,2022-08-25,2023-08-25,cancelled,29.0
328,479,3,2025-10-08,,active,119.0
329,480,4,2024-07-01,2025-07-01,cancelled,24.92
330,481,5,2024-11-11,,active,49.92
331,482,4,2025-01-19,,active,24.92
332,485,6,2024-09-10,,active,99.92
333,486,2,2025-08-01,,active,59.0
334,487,6,2022-06-17,,active,99.92
335,490,2,2025-07-29,,active,59.0
336,490,3,2025-08-02,,active,119.0
337,491,5,2024-05-07,2024-09-07,cancelled,49.92
338,492,2,2024-11-08,,active,59.0
339,493,1,2023-08-13,,active,29.0
340,494,4,2023-03-29,2024-07-29,cancelled,24.92
341,496,2,2023-12-22,2024-01-22,cancelled,59.0
342,496,3,2023-12-27,,active,119.0
343,497,5,2024-09-07,,active,49.92
344,498,6,2022-07-18,2022-07-18,cancelled,99.92
345,499,6,2025-10-10,,active,99.92
346,501,6,2025-02-28,,active,99.92
347,503,5,2023-09-20,2025-03-20,cancelled,49.92
348,504,1,2025-05-29,,active,29.0
349,507,5,2025-08-11,,active,49.92
350,508,2,2025-06-22,,active,59.0
351,510,1,2025-02-11,,active,29.0
352,511,4,2024-11-16,2024-11-16,cancelled,24.92
353,512,6,2024-03-09,,active,99.92
354,513,3,2025-09-25,2025-09-25,cancelled,119.0
355,514,2,2025-07-23,,active,59.0
356,515,4,2022-04-30,2024-03-28,cancelled,24.92
357,516,3,2022-04-24,2022-04-24,cancelled,119.0
358,517,1,2023-12-17,2025-04-17,cancelled,29.0
359,518,3,2025-05-29,,active,119.0
360,521,2,2024-10-31,,active,59.0
361,525,3,2025-06-07,,active,119.0
362,528,4,2023-07-04,,active,24.92
363,529,3,2022-06-06,2022-06-06,cancelled,119.0
364,534,6,2024-09-04,,active,99.92
365,535,4,2025-03-21,2025-03-21,cancelled,24.92
366,538,4,2023-07-11,2024-08-11,cancelled,24.92
367,539,3,2024-03-23,,active,119.0
368,541,3,2025-09-22,,active,119.0
369,542,2,2024-09-30,,active,59.0
370,543,4,2023-05-20,,active,24.92
371,544,1,2025-01-15,2025-07-15,cancelled,29.0
372,545,2,2024-10-11,2025-03-11,cancelled,59.0
373,545,3,2024-10-31,,active,119.0
374,547,2,2022-10-09,2025-10-09,cancelled,59.0
375,548,3,2025-01-28,,active,119.0
376,551,6,2024-07-21,,active,99.92
377,554,3,2024-09-07,,active,119.0
378,555,4,2025-07-30,2025-07-30,cancelled,24.92
379,556,4,2024-01-23,2025-03-23,cancelled,24.92
380,559,2,2025-04-20,,active,59.0
381,560,4,2024-11-21,2024-11-21,cancelled,24.92
382,564,3,2022-02-22,,active,119.0
383,565,1,2023-12-26,,active,29.0
384,566,3,2024-09-22,,active,119.0
385,567,5,2024-01-07,2024-04-07,cancelled,49.92
386,568,4,2024-03-17,,active,24.92
387,570,5,2023-11-29,,active,49.92
388,571,1,2024-07-16,2025-06-16,cancelled,29.0
389,571,6,2024-07-22,2025-08-22,cancelled,99.92
390,572,4,2025-04-24,2025-04-24,cancelled,24.92
391,573,3,2024-02-15,2024-04-15,cancelled,119.0
392,574,5,2024-11-12,2025-10-12,cancelled,49.92
393,575,1,2025-07-30,,active,29.0
394,577,1,2023-01-01,2024-07-01,cancelled,29.0
395,578,5,2025-09-02,,active,49.92
396,578,6,2025-09-29,,active,99.92
397,579,5,2024-06-08,2024-07-08,cancelled,49.92
398,580,2,2023-08-06,2024-01-06,cancelled,59.0
399,585,5,2024-11-06,2025-04-06,cancelled,49.92
400,586,5,2023-06-27,2023-07-27,cancelled,49.92
401,587,1,2022-08-27,,active,29.0
402,587,4,2022-07-13,,active,24.92
403,588,3,2022-11-11,,active,119.0
404,590,3,2023-01-28,2024-06-28,cancelled,119.0
405,591,4,2022-12-02,2023-07-02,cancelled,24.92
406,591,5,2023-01-04,,active,49.92
407,592,5,2024-11-18,,active,49.92
408,594,1,2023-10-21,2025-03-21,cancelled,29.0
409,597,6,2024-12-13,,active,99.92
410,599,6,2023-04-11,2023-04-11,cancelled,99.92
411,601,6,2023-01-20,2024-03-20,cancelled,99.92
412,602,2,2023-08-11,2024-01-11,cancelled,59.0
413,604,1,2022-08-16,2022-11-16,cancelled,29.0
414,605,1,2022-11-24,2023-11-24,cancelled,29.0
415,606,6,2024-05-03,,active,99.92
416,612,2,2025-05-19,,active,59.0
417,613,2,2024-11-27,,active,59.0
418,614,2,2022-08-28,2023-04-28,cancelled,59.0
419,617,6,2022-06-14,2024-11-14,cancelled,99.92
420,618,3,2023-08-10,2024-02-10,cancelled,119.0
421,619,6,2025-05-04,,active,99.92
422,620,6,2025-03-17,,active,99.92
423,622,1,2023-05-03,2024-12-03,cancelled,29.0
424,623,6,2023-12-17,2024-05-17,cancelled,99.92
425,625,5,2024-10-06,,active,49.92
426,626,6,2023-12-04,,active,99.92
427,626,3,2023-12-28,2024-06-28,cancelled,119.0
428,627,2,2024-04-18,,active,59.0
429,629,5,2022-05-03,2024-09-03,cancelled,49.92
430,630,5,2023-07-13,,active,49.92
431,631,5,2025-01-29,,active,49.92
432,632,5,2025-08-12,,active,49.92
433,636,1,2024-04-07,,active,29.0
434,636,4,2024-04-20,2025-02-20,cancelled,24.92
435,637,5,2024-08-12,2025-02-12,cancelled,49.92
436,638,6,2023-06-05,2024-06-05,cancelled,99.92
437,640,1,2023-12-10,,active,29.0
438,641,2,2022-04-15,2024-06-15,cancelled,59.0
439,642,2,2023-10-17,2025-05-17,cancelled,59.0
440,643,5,2023-05-04,2024-12-04,cancelled,49.92
441,643,3,2023-03-28,,active,119.0
442,645,2,2022-10-30,,active,59.0
443,645,6,2022-11-09,,active,99.92
444,646,1,2025-08-20,,active,29.0
445,648,1,2025-01-03,,active,29.0
446,650,5,2024-06-21,2025-08-21,cancelled,49.92
447,651,3,2022-09-04,2022-10-04,cancelled,119.0
448,651,1,2022-09-07,2022-09-07,cancelled,29.0
449,652,4,2024-08-02,2024-08-02,cancelled,24.92
450,653,4,2024-08-31,2025-01-30,cancelled,24.92
451,654,4,2025-03-22,,active,24.92
452,655,1,2024-03-14,2024-12-14,cancelled,29.0
453,655,4,2024-03-02,,active,24.92
454,656,2,2022-12-18,2024-06-18,cancelled,59.0
455,658,6,2023-12-31,,active,99.92
456,660,3,2024-09-13,2025-06-13,cancelled,119.0
457,661,4,2023-12-02,,active,24.92
458,663,2,2024-09-20,2025-01-20,cancelled,59.0
459,665,6,2022-09-16,2024-03-16,cancelled,99.92
460,667,1,2023-07-09,2025-06-09,cancelled,29.0
461,668,2,2023-01-01,2023-05-01,cancelled,59.0
462,669,5,2023-03-14,,active,49.92
463,669,2,2023-03-06,,active,59.0
464,671,5,2023-02-19,,active,49.92
465,672,6,2025-09-14,,active,99.92
466,672,3,2025-08-16,,active,119.0
467,673,3,2022-07-20,,active,119.0
468,674,3,2024-07-27,,active,119.0
469,675,3,2024-02-20,2024-04-20,cancelled,119.0
470,677,5,2022-09-27,2022-09-27,cancelled,49.92
471,678,5,2024-02-27,,active,49.92
472,680,5,2025-07-12,,active,49.92
473,680,4,2025-07-15,,active,24.92
474,681,6,2025-06-26,2025-06-26,cancelled,99.92
475,683,1,2023-02-07,2023-02-07,cancelled,29.0
476,683,3,2023-03-08,2025-08-08,cancelled,119.0
477,684,6,2024-12-28,,active,99.92
478,685,1,2025-09-29,,active,29.0
479,685,6,2025-10-18,,active,99.92
480,687,4,2024-08-10,2025-02-10,cancelled,24.92
481,688,5,2023-09-04,,active,49.92
482,690,5,2023-04-06,2024-12-06,cancelled,49.92
483,691,4,2023-09-27,2025-06-27,cancelled,24.92
484,694,3,2023-06-13,,active,119.0
485,695,6,2022-10-21,,active,99.92
486,697,2,2023-09-13,2024-09-13,cancelled,59.0
487,698,3,2024-10-06,,active,119.0
488,698,5,2024-09-09,2024-09-09,cancelled,49.92
489,700,5,2024-06-15,,active,49.92
490,701,4,2024-07-31,2024-08-31,cancelled,24.92
491,701,1,2024-07-14,,active,29.0
492,703,6,2023-11-16,,active,99.92
493,705,1,2022-07-17,2024-05-17,cancelled,29.0
494,707,3,2023-09-29,2024-10-29,cancelled,119.0
495,708,1,2025-06-09,2025-10-09,cancelled,29.0
496,708,2,2025-06-21,,active,59.0
497,709,6,2023-06-07,2024-06-07,cancelled,99.92
498,710,2,2025-01-07,2025-05-07,cancelled,59.0
499,712,2,2024-11-02,,active,59.0
500,713,3,2024-05-10,,active,119.0
501,713,1,2024-04-28,2025-10-28,cancelled,29.0
502,714,4,2024-02-12,,active,24.92
503,718,4,2025-10-13,,active,24.92
504,720,1,2025-03-18,,active,29.0
505,722,6,2023-03-01,2023-04-01,cancelled,99.92
506,723,1,2022-06-27,2022-11-27,cancelled,29.0
507,725,5,2024-09-21,2025-06-21,cancelled,49.92
508,726,6,2025-06-10,,active,99.92
509,726,1,2025-06-11,,active,29.0
510,729,4,2023-04-27,2025-09-27,cancelled,24.92
511,729,3,2023-03-23,2023-07-23,cancelled,119.0
512,730,4,2023-01-01,2023-10-01,cancelled,24.92
513,730,6,2023-01-07,2023-01-07,cancelled,99.92
514,731,1,2023-02-04,2023-03-04,cancelled,29.0
515,733,3,2024-11-30,2025-07-28,cancelled,119.0
516,737,2,2024-01-15,2025-05-15,cancelled,59.0
517,739,5,2024-03-18,,active,49.92
518,740,3,2024-01-01,,active,119.0
519,742,1,2023-09-07,,active,29.0
520,742,5,2023-10-12,2024-10-12,cancelled,49.92
521,743,6,2025-03-19,,active,99.92
522,748,4,2024-08-14,2025-10-14,cancelled,24.92
523,749,2,2025-09-22,,active,59.0
524,752,4,2025-09-28,,active,24.92
525,753,4,2024-11-07,,active,24.92
526,757,3,2024-11-28,,active,119.0
527,758,3,2024-07-26,2025-02-26,cancelled,119.0
528,760,2,2025-05-12,2025-05-12,cancelled,59.0
529,763,1,2023-06-19,,active,29.0
530,764,1,2025-03-12,,active,29.0
531,766,4,2024-08-18,,active,24.92
532,767,5,2025-04-14,2025-09-14,cancelled,49.92
533,768,3,2025-07-22,,active,119.0
534,773,4,2022-11-15,2024-02-15,cancelled,24.92
535,774,3,2024-01-09,2024-10-09,cancelled,119.0
536,777,6,2023-05-03,,active,99.92
537,779,4,2025-01-30,,active,24.92
538,782,4,2024-09-03,,active,24.92
539,785,2,2023-03-24,2024-07-24,cancelled,59.0
540,786,1,2025-09-20,,active,29.0
541,787,2,2024-10-13,,active,59.0
542,789,6,2024-04-14,2025-05-14,cancelled,99.92
543,790,4,2025-09-21,,active,24.92
544,791,2,2023-01-31,2024-08-28,cancelled,59.0
545,791,1,2023-02-01,2023-02-01,cancelled,29.0
546,792,5,2024-09-07,2025-06-07,cancelled,49.92
547,793,4,2024-07-07,2024-11-07,cancelled,24.92
548,793,6,2024-07-08,2024-07-08,cancelled,99.92
549,799,3,2025-01-31,,active,119.0
550,799,6,2025-02-26,,active,99.92
551,800,1,2025-08-20,,active,29.0
552,801,3,2025-02-18,,active,119.0
553,802,3,2023-01-28,,active,119.0
554,803,2,2024-09-01,,active,59.0
555,803,6,2024-09-03,,active,99.92
556,805,3,2024-03-21,,active,119.0
557,805,2,2024-03-17,,active,59.0
558,806,2,2025-04-02,,active,59.0
559,810,2,2022-11-17,2024-03-17,cancelled,59.0
560,812,6,2025-07-10,,active,99.92
561,814,2,2025-09-19,,active,59.0
562,815,5,2025-07-19,,active,49.92
563,815,1,2025-07-09,,active,29.0
564,816,6,2024-06-29,2025-03-28,cancelled,99.92
565,817,5,2024-09-26,2024-12-26,cancelled,49.92
566,819,5,2022-06-16,,active,49.92
567,822,4,2022-01-29,2022-05-28,cancelled,24.92
568,824,4,2024-02-06,,active,24.92
569,824,6,2024-01-09,,active,99.92
570,826,3,2025-10-11,,active,119.0
571,826,1,2025-09-25,,active,29.0
572,830,4,2024-04-18,,active,24.92
573,830,2,2024-04-22,2024-06-22,cancelled,59.0
574,832,1,2024-05-03,,active,29.0
575,832,5,2024-04-08,2025-08-08,cancelled,49.92
576,837,2,2025-09-17,,active,59.0
577,839,4,2024-09-10,,active,24.92
578,850,3,2024-10-14,2025-02-14,cancelled,119.0
579,852,2,2025-03-20,,active,59.0
